target_x,target_y,velocity_x,velocity_y,obs_1_x,obs_1_y,obs_2_x,obs_2_y,obs_3_x,obs_3_y,obs_4_x,obs_4_y,obs_5_x,obs_5_y,obs_fac_x,obs_fac_y
0.37511984,-0.01222391,0.11301923,-0.08937036,-0.78985363,0.01638057,0.4622438,-0.00830347,-0.63572156,0.013459883,-0.3931718,0.021708492,0.20336537,0.002583799,0.51166624,-0.026604181
0.37511984,-0.01222391,-0.22725286,0.224864,-0.8045732,0.017633589,0.451662,-0.005935121,-0.63271356,0.013183713,-0.38975868,0.021539647,0.22579771,0.0020074907,0.50409114,-0.019108713
0.37511984,-0.01222391,-0.218784,-0.14719824,-0.7996029,0.019330822,0.45450333,-0.004828311,-0.6338036,0.015173361,-0.39488873,0.021555891,-0.5036136,0.014150173,0.4967983,-0.024015322
0.37511984,-0.01222391,0.18987007,0.07316769,-0.8007518,0.020529777,0.46097854,-0.004513259,-0.63022375,0.016487097,-0.4052463,0.01975666,-0.5028631,0.014895593,0.50312734,-0.021576399
0.37511984,-0.01222391,0.13108346,-0.027411917,-0.80522245,0.020463463,0.45559362,-0.008728511,-0.60046506,0.013317936,-0.42514917,0.017098825,-0.5033398,0.014288925,0.5074968,-0.022490129
0.37511984,-0.01222391,-0.18953452,0.13267335,-0.7954292,0.018316157,0.43259403,-0.004143879,-0.2737381,0.0124758445,-0.41966093,0.018622953,-0.4965099,0.010929613,0.501179,-0.018067684
0.37511984,-0.01222391,0.072025195,-0.080270335,-0.7989321,0.021354025,0.35410962,-0.008372712,-0.29807776,0.01085105,-0.42203248,0.018883144,-0.50309,0.011736019,0.5035798,-0.020743363
0.37511984,-0.01222391,-0.16405605,-0.04809669,-0.7980375,0.02049489,0.35580632,-0.009274192,-0.32777494,0.00787044,-0.41877356,0.019434419,-0.50445276,0.0114691695,0.49811125,-0.022346584
0.37511984,-0.01222391,1.267931,-0.016290557,-0.8001241,0.018429607,0.4436805,-0.007918643,-0.6294706,0.010593256,-0.39085725,0.016590161,-0.5000703,0.011680092,0.54037565,-0.022889603
0.37511984,-0.01222391,0.6714202,-0.026021747,-0.80033237,0.020862937,0.46237963,-0.008041149,-0.63054335,0.011171961,-0.37413257,0.012991965,-0.4983584,0.0119437445,0.5627563,-0.023756994
0.37511984,-0.01222391,0.9452038,0.14009559,-0.8002887,0.019793678,0.36188763,-0.0045809033,-0.61173105,0.011934424,-0.39208308,0.015426627,-0.49229386,0.012726448,0.5942631,-0.019087141
0.37511984,-0.01222391,0.15065768,-0.18139322,-0.8087735,0.018345717,0.4394839,-0.0078299595,-0.589283,0.01117782,-0.38853842,0.018369153,-0.479516,0.013497699,0.599285,-0.025133584
0.37511984,-0.01222391,1.301407,0.04434163,-0.8102881,0.01939234,0.44020694,-0.0028599687,-0.64760005,0.011971975,-0.39041463,0.019908993,-0.4889814,0.016635437,0.64266527,-0.023655528
0.37511984,-0.01222391,-0.40942106,-0.122894235,-0.80502033,0.022342324,0.28278935,5.9122176e-05,-0.64608765,0.013959758,-0.44624674,0.02062432,-0.4894565,0.01659469,0.6290179,-0.027752003
0.37511984,-0.01222391,0.06187056,0.14889202,-0.80898607,0.025061944,0.2842594,-0.0018085527,-0.60462093,0.012084094,-0.39120293,0.023445405,-0.49129808,0.018003501,0.6310802,-0.022788936
0.37511984,-0.01222391,-0.18674618,-0.114864804,-0.8026666,0.022706911,0.35955364,0.00058083545,-0.6637135,0.016395751,-0.38503316,0.01693584,-0.48113653,0.017125458,0.62485534,-0.026617762
0.37511984,-0.01222391,0.21049891,0.0976235,-0.80231404,0.02419908,0.17936629,-0.0028730182,-0.66017073,0.01936198,-0.36770478,0.012940566,-0.481544,0.015722238,0.631872,-0.023363646
0.37511984,-0.01222391,-0.10406302,-0.1277758,-0.814947,0.018269818,0.4751066,-0.010427341,-0.63616073,0.014804779,-0.3888905,0.0158016,-0.48893267,0.015046594,0.62840325,-0.02762284
0.37511984,-0.01222391,-0.1274003,0.0040266993,-0.8053724,0.024627848,0.4771535,-0.009509616,-0.6278916,0.010624682,-0.37355256,0.014754445,-0.48003745,0.015262309,0.62415653,-0.027488615
0.37511984,-0.01222391,-0.38436607,-0.021915153,-0.7926185,0.017839983,0.48000923,-0.0073580476,-0.63756585,0.013042299,-0.3554987,0.012670788,-0.47929016,0.01595926,0.61134434,-0.02821912
0.37511984,-0.01222391,-0.026724821,-0.003906857,-0.79584414,0.015780827,0.20368175,-0.0046014097,-0.6266455,0.016878316,0.35535863,0.0054160706,-0.47574604,0.016013054,0.6104535,-0.02834935
0.37511984,-0.01222391,0.4994066,0.11050254,-0.7985638,0.019021362,0.31609857,-0.0054056845,-0.63413113,0.01857768,0.13459563,0.010447049,-0.4719425,0.016041817,0.6271004,-0.024665931
0.37511984,-0.01222391,0.05269863,0.004514058,-0.79990333,0.016347548,0.32707772,-0.004289287,-0.63009405,0.013244965,0.34060127,0.0045388252,-0.48935637,0.014803447,0.628857,-0.024515463
0.37511984,-0.01222391,-0.027995149,0.077050574,-0.80343306,0.017108146,0.3628216,-0.0041430797,-0.63652134,0.015564046,0.29866633,0.0015776566,-0.47215584,0.013733389,0.62792385,-0.02194711
